Graph,Vertices,Edges,Longest_Path,Average_Wavefront_Size,Short_Edges,Median_Edge_Length,Average_Edge_Length,Average_Bottom_Level
uni_chimera_i2_A_05,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_10,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_18,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_01,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_07,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_11,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_22,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_14,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_15,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_03,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_12,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_20,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_04,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_08,100000,348987,28,3571.43,105857,3,4.34074,5.76131
uni_chimera_i2_A_21,100000,348987,28,3571.43,105857,3,4.34074,5.76131
cant,62451,1972466,2397,26.0538,117369,7,7.40524,1184.78
torsion1,40000,78804,397,100.756,78410,1,1.49497,198.005
Trefethen_2000,2000,19953,2000,1,1999,32,135.112,1000.5
ex33,1733,10228,174,9.95977,2260,3,4.26819,73.1835
plbuckle_G,1282,6422,100,12.82,1449,3,3.29897,28.4984
plbuckle,1282,14681,153,8.37908,1552,4,5.13248,78.0796
fv1,9604,37830,292,32.8904,18915,1,1.74872,146.5
bcsstk08,1074,5943,78,13.7692,1481,6,9.82298,28.1294
bcsstm09,1083,0,1,1083,0,0,0,1
nasa1824,1824,18692,186,9.80645,2045,5,8.039,84.977
bcsstk11,1473,16384,195,7.55385,1754,4,9.01593,83.3449
nasa2910,2910,85693,478,6.08787,2974,18,28.1652,250.709
1138_bus,1138,1458,21,54.1905,910,1,2.93621,3.29525
sts4098,4098,34129,180,22.7667,4832,7,17.8465,48.0278
bcsstk15,3948,56934,365,10.8164,4241,9,18.002,149.842
ex3,1821,25432,564,3.22872,1835,10,13.3923,293.785
bcsstm21,3600,0,1,3600,0,0,0,1
s2rmq4m1,5489,137811,532,10.3177,6272,9,9.66958,264.829
mhd4800b,4800,11360,1198,4.00668,4786,2,2.02562,374.377
bcsstk28,4410,107307,918,4.80392,4577,13,22.6907,384.174
s2rmt3m1,5489,107016,355,15.462,6301,7,7.64958,175.622
t2dal_e,4257,0,1,4257,0,0,0,1
s3rmt3m3,5357,101169,1152,4.65017,5575,9,70.1682,223.972
bcsstk14,1806,30824,392,4.60714,1800,10,16.803,168.238
bcsstm12,1473,9093,130,11.3308,2148,3,5.70879,47.2132
s1rmt3m1,5489,107016,355,15.462,6301,7,7.64958,175.622
bcsstm26,1922,0,1,1922,0,0,0,1
msc04515,4515,46596,267,16.9101,5848,4,4.57571,115.671
ex10,2410,26215,364,6.62088,2945,5,10.108,145.833
mhd3200b,3200,7558,798,4.01003,3186,2,2.02527,249.129
bcsstk10,1086,10492,230,4.72174,1353,4,4.46035,99.9494
ex15,6867,45902,473,14.518,10837,3,3.06566,197.991
crystm01,4875,50232,117,41.6667,11556,3,3.2893,59
bcsstk24,3562,78174,856,4.16121,3783,10,28.8617,203.581
Kuu,7102,166549,414,17.1546,8160,10,13.7653,183.119
Muu,7102,81516,207,34.3092,9240,5,7.01035,91.8113
s3rmt3m1,5489,107016,355,15.462,6301,7,7.64958,175.622
bcsstk09,1083,8677,91,11.9011,1886,3,2.97061,37.9474
bcsstm08,1074,0,1,1074,0,0,0,1
s1rmq4m1,5489,137811,532,10.3177,6272,9,9.66958,264.829
s3rmq4m1,5489,137811,532,10.3177,6272,9,9.66958,264.829
fv3,9801,38612,295,33.2237,19306,1,1.74873,148
bcsstk21,3600,11500,49,73.4694,11500,1,1,25
bcsstk12,1473,16384,195,7.55385,1754,4,9.01593,83.3449
nd3k,9000,1635345,3801,2.3678,9040,574,761.595,1494.11
bcsstk38,8032,173714,2183,3.67934,8183,14,41.7912,970.141
plat1919,1919,15240,80,23.9875,4037,4,11.0997,34.1668
nasa2146,2146,35052,298,7.20134,2565,6,6.50488,149.461
bcsstm23,3134,0,1,3134,0,0,0,1
bcsstk13,2003,40940,577,3.4714,2129,22,45.1522,249.684
ex10hs,2548,27380,458,5.56332,2781,6,12.2786,187.359
Chem97ZtZ,2541,2410,2,1270.5,2410,1,1,1.94845
bcsstk16,4884,142747,690,7.07826,5930,11,11.8971,343.583
nasa4704,4704,50026,331,14.2115,5110,6,8.97869,168.567
aft01,8205,58681,503,16.3121,10685,4,5.13636,223.343
bcsstk23,3134,21022,125,25.072,4082,4,8.52588,54.2106
ex13,2568,36530,643,3.99378,2636,9,11.6171,338.173
bcsstm24,3562,0,1,3562,0,0,0,1
msc01050,1050,14053,60,17.5,1105,9,12.1183,29.9819
msc01440,1440,22415,61,23.6066,1607,8,12.1689,23.7667
ex9,3363,48054,699,4.81116,3663,8,8.80759,358.006
bcsstm11,1473,0,1,1473,0,0,0,1
bcsstk27,1224,27451,462,2.64935,1323,9,9.79108,236.216
bcsstk26,1922,14207,164,11.7195,1998,5,9.48722,100.736
fv2,9801,38612,295,33.2237,19306,1,1.74873,148
nos4,100,247,32,3.125,87,3,4.94332,13.79
Trefethen_20b,19,64,19,1,18,2,3.875,10
mesh1e1,48,129,17,2.82353,52,2,3.90698,6.8125
bcsstk01,48,176,13,3.69231,55,2,2.76136,6.79167
ex5,27,126,15,1.8,30,3,3.26984,7.92593
LFAT5,14,16,5,2.8,16,1,1,2.57143
LFAT5_M,14,16,5,2.8,16,1,1,2.57143
LFAT5_E,14,16,5,2.8,16,1,1,2.57143
bcsstm02,66,0,1,66,0,0,0,1
bcsstk02,66,2145,66,1,65,20,22.3333,33.5
mesh1em1,48,129,17,2.82353,52,2,3.90698,6.8125
mesh1em6,48,129,17,2.82353,52,2,3.90698,6.8125
LF10,18,32,10,1.8,32,1,1,5.5
LF10_E,18,32,10,1.8,32,1,1,5.5
LF10_M,18,32,10,1.8,32,1,1,5.5
Trefethen_20,20,69,20,1,19,2,4.04348,10.5
thermomech_dM,204316,609400,322,634.522,204838,2,4.58774,5.90123
apache2,715176,2051347,664,1077.07,2036503,1,1.43426,330.749
af_0_k101,503625,8523525,6765,74.4457,553268,7,7.5787,3382.65
bmw7st_1,141347,3599160,707,199.925,143072,17,56.729,138.219
StocF-1465,1465137,9770126,3004,487.729,1831481,8,19.4265,734.746
af_1_k101,503625,8523525,6765,74.4457,553268,7,7.5787,3382.65
2cubes_sphere,101492,772886,14329,7.08298,108346,15,738.788,6121.24
shipsec8,114919,3269240,3127,36.7506,119755,16,84.4127,1741.91
inline_1,503712,18156315,1752,287.507,518355,143,249.858,230.452
Spielman_k100_A_07,338402,343501,2553,132.551,338401,1,1.99885,47.547
Spielman_k100_A_02,338402,343501,2553,132.551,338401,1,1.99885,47.547
Spielman_k100_A_10,338402,343501,2553,132.551,338401,1,1.99885,47.547
Spielman_k100_A_03,338402,343501,2553,132.551,338401,1,1.99885,47.547
Spielman_k100_A_08,338402,343501,2553,132.551,338401,1,1.99885,47.547
Spielman_k100_A_09,338402,343501,2553,132.551,338401,1,1.99885,47.547
Spielman_k100_A_05,338402,343501,2553,132.551,338401,1,1.99885,47.547
Spielman_k100_A_06,338402,343501,2553,132.551,338401,1,1.99885,47.547
Spielman_k100,338402,343501,2553,132.551,338401,1,1.99885,47.547
Spielman_k100_A_04,338402,343501,2553,132.551,338401,1,1.99885,47.547
Spielman_k100_A_01,338402,343501,2553,132.551,338401,1,1.99885,47.547
bundle_adj,513351,9847350,9,57039,861067,4,4.33416,2.02909
shipsec1,140874,3836265,2100,67.0829,143869,17,53.4853,990.597
thermomech_TK,102158,304700,322,317.261,102419,2,4.58774,5.90123
thermal2,1228045,3676134,1239,991.158,1080812,5,107.136,86.9263
thermomech_TC,102158,304700,322,317.261,102419,2,4.58774,5.90123
Flan_1565,1564794,57920625,7806,200.46,1926095,20,26.3105,2633.23
af_3_k101,503625,8523525,6765,74.4457,553268,7,7.5787,3382.65
shipsec5,179860,4966618,2688,66.9122,186542,16,74.4678,1383.95
ecology2,999999,1997996,1999,500.25,1997996,1,1,1000
x104,108384,5029620,4992,21.7115,111153,26,83.8621,2737.05
bmwcra_1,148770,5247616,729,204.074,179102,17,51.8214,276.563
audikw_1,943695,38354076,4632,203.734,999629,174,1198.02,1599.55
Fault_639,638802,13987881,4462,143.165,681060,27,41.4585,1936.5
af_shell7,504855,8542010,3725,135.532,540466,7,13.4151,1433.57
af_4_k101,503625,8523525,6765,74.4457,553268,7,7.5787,3382.65
af_shell3,504855,8542010,3725,135.532,540466,7,13.4151,1433.57
af_shell4,504855,8542010,3725,135.532,540466,7,13.4151,1433.57
af_shell8,504855,8542010,3725,135.532,540466,7,13.4151,1433.57
BenElechi1,245874,6452311,5754,42.731,285750,9,12.0855,3149.49
Bump_2911,2911419,62409240,10274,283.377,3165792,16,38.1756,6064.68
af_2_k101,503625,8523525,6765,74.4457,553268,7,7.5787,3382.65
G3_circuit,1585478,3037674,2594,611.21,2478582,1,47.9135,1119.33
Geo_1438,1437960,30859365,5823,246.945,1571212,17,32.4999,2943.09
Dubcova3,146689,1744980,3266,44.914,146528,12,571.452,865.626
PFlow_742,742793,18197834,6278,118.317,807346,17,21.275,1770.53
hood,220542,5273947,604,365.136,220507,16,41.5942,71.662
parabolic_fem,525825,1574400,7,75117.9,513877,2,2.62648,4.18449
af_shell10,1508065,25582130,8360,180.391,1657617,7,7.58713,4176.63
af_5_k101,503625,8523525,6765,74.4457,553268,7,7.5787,3382.65
G2_circuit,150102,288286,733,204.778,237820,1,13.2765,315.141
offshore,259789,1991442,3452,75.2575,282838,11,107.577,1933.02
boneS01_M,127224,1055580,271,469.461,246294,3,8.05987,129.985
boneS01,127224,3293964,813,156.487,166914,9,23.2972,388.954
ship_003,121728,3982153,4367,27.8745,122930,29,253.291,2189.26
Emilia_923,923136,20041035,5241,176.137,990819,31,44.4516,2530.5
bone010,986703,35339811,2097,470.531,1542929,9,16.6355,996.769
bone010_M,986703,11451036,699,1411.59,2655381,3,5.69167,332.59
msdoor,415863,9912536,6937,59.9485,418586,15,192.91,276.37
pwtk,217918,5708253,142168,1.53282,220521,353,472.817,49158.9
ldoor,952203,22785136,6734,141.402,950863,16,80.2048,257.609
tmt_sym,726713,2177124,726235,1.00066,726578,381,553.944,363105
cfd2,123440,1482229,4357,28.3314,191844,13,28.8479,1853.89
Serena,1391349,31570176,4662,298.445,1424093,38,76.613,1652.99
Hook_1498,1498023,29709711,15618,95.9164,1534197,28,59.0362,5581.07
boneS10_M,914898,8787288,789,1159.57,1976862,3,13.8748,332.136
boneS10,914898,27276762,2367,386.522,1268886,9,40.273,995.409
Queen_4147,4147110,162676087,12114,342.34,5054087,40,44.3158,4608.16
